tournament_id,tournament_name,start_time,processed_at,Pseudo,Position,GainsCash,Bounty,Reentry,buyin_total
ff47ca71985cdf7ed30ecbc12f6f3e1e62bfd59b,Coronamax 08,2025-10-19 20:46:00,2025-10-26 20:46:29.704798,123CYRILLE,1,45.0,0.0,0,10.0
ff47ca71985cdf7ed30ecbc12f6f3e1e62bfd59b,Coronamax 08,2025-10-19 20:46:00,2025-10-26 20:46:29.704798,Bisat,2,27.0,0.0,1,10.0
ff47ca71985cdf7ed30ecbc12f6f3e1e62bfd59b,Coronamax 08,2025-10-19 20:46:00,2025-10-26 20:46:29.704798,Maitre Mat,3,18.0,0.0,0,10.0
ff47ca71985cdf7ed30ecbc12f6f3e1e62bfd59b,Coronamax 08,2025-10-19 20:46:00,2025-10-26 20:46:29.704798,Krazy Kat,4,0.0,0.0,0,10.0
ff47ca71985cdf7ed30ecbc12f6f3e1e62bfd59b,Coronamax 08,2025-10-19 20:46:00,2025-10-26 20:46:29.704798,shark feeder,5,0.0,0.0,0,10.0
ff47ca71985cdf7ed30ecbc12f6f3e1e62bfd59b,Coronamax 08,2025-10-19 20:46:00,2025-10-26 20:46:29.704798,philou4675,6,0.0,0.0,0,10.0
ff47ca71985cdf7ed30ecbc12f6f3e1e62bfd59b,Coronamax 08,2025-10-19 20:46:00,2025-10-26 20:46:29.704798,odrAAdeKK,7,0.0,0.0,0,10.0
ff47ca71985cdf7ed30ecbc12f6f3e1e62bfd59b,Coronamax 08,2025-10-19 20:46:00,2025-10-26 20:46:29.704798,Nolimythe,8,0.0,0.0,1,10.0
fbe92182550ab474a9ca1653b35f43c283d2ce85,"CoronaMax VII - Filetonfric 01 du 31-
08-2025 21:15 en argent réel
CoronaMax VII - Filetonfric 01",2025-08-31 21:15:00,2025-10-26 20:47:17.303851,Krazy Kat,1,35.1,0.0,0,10.0
fbe92182550ab474a9ca1653b35f43c283d2ce85,"CoronaMax VII - Filetonfric 01 du 31-
08-2025 21:15 en argent réel
CoronaMax VII - Filetonfric 01",2025-08-31 21:15:00,2025-10-26 20:47:17.303851,Nolimythe,2,18.9,0.0,0,10.0
fbe92182550ab474a9ca1653b35f43c283d2ce85,"CoronaMax VII - Filetonfric 01 du 31-
08-2025 21:15 en argent réel
CoronaMax VII - Filetonfric 01",2025-08-31 21:15:00,2025-10-26 20:47:17.303851,123CYRILLE,3,0.0,0.0,0,10.0
fbe92182550ab474a9ca1653b35f43c283d2ce85,"CoronaMax VII - Filetonfric 01 du 31-
08-2025 21:15 en argent réel
CoronaMax VII - Filetonfric 01",2025-08-31 21:15:00,2025-10-26 20:47:17.303851,odrAAdeKK,4,0.0,0.0,0,10.0
fbe92182550ab474a9ca1653b35f43c283d2ce85,"CoronaMax VII - Filetonfric 01 du 31-
08-2025 21:15 en argent réel
CoronaMax VII - Filetonfric 01",2025-08-31 21:15:00,2025-10-26 20:47:17.303851,shark feeder,5,0.0,0.0,0,10.0
fbe92182550ab474a9ca1653b35f43c283d2ce85,"CoronaMax VII - Filetonfric 01 du 31-
08-2025 21:15 en argent réel
CoronaMax VII - Filetonfric 01",2025-08-31 21:15:00,2025-10-26 20:47:17.303851,Bisat,6,0.0,0.0,0,10.0
4e9442ad2dce52cf03bf0a5d38af80da40282bb5,"CoronaMax VII - Filetonfric 02 du 07-
09-2025 21:15 en argent réel
CoronaMax VII - Filetonfric 02",2025-09-07 21:15:00,2025-10-26 20:47:17.316203,Bisat,1,49.5,0.0,1,10.0
4e9442ad2dce52cf03bf0a5d38af80da40282bb5,"CoronaMax VII - Filetonfric 02 du 07-
09-2025 21:15 en argent réel
CoronaMax VII - Filetonfric 02",2025-09-07 21:15:00,2025-10-26 20:47:17.316203,Maitre Mat,2,29.7,0.0,0,10.0
4e9442ad2dce52cf03bf0a5d38af80da40282bb5,"CoronaMax VII - Filetonfric 02 du 07-
09-2025 21:15 en argent réel
CoronaMax VII - Filetonfric 02",2025-09-07 21:15:00,2025-10-26 20:47:17.316203,Luckystefy,3,19.8,0.0,1,10.0
4e9442ad2dce52cf03bf0a5d38af80da40282bb5,"CoronaMax VII - Filetonfric 02 du 07-
09-2025 21:15 en argent réel
CoronaMax VII - Filetonfric 02",2025-09-07 21:15:00,2025-10-26 20:47:17.316203,Nolimythe,4,0.0,0.0,0,10.0
4e9442ad2dce52cf03bf0a5d38af80da40282bb5,"CoronaMax VII - Filetonfric 02 du 07-
09-2025 21:15 en argent réel
CoronaMax VII - Filetonfric 02",2025-09-07 21:15:00,2025-10-26 20:47:17.316203,123CYRILLE,5,0.0,0.0,0,10.0
4e9442ad2dce52cf03bf0a5d38af80da40282bb5,"CoronaMax VII - Filetonfric 02 du 07-
09-2025 21:15 en argent réel
CoronaMax VII - Filetonfric 02",2025-09-07 21:15:00,2025-10-26 20:47:17.316203,shark feeder,6,0.0,0.0,0,10.0
4e9442ad2dce52cf03bf0a5d38af80da40282bb5,"CoronaMax VII - Filetonfric 02 du 07-
09-2025 21:15 en argent réel
CoronaMax VII - Filetonfric 02",2025-09-07 21:15:00,2025-10-26 20:47:17.316203,odrAAdeKK,7,0.0,0.0,1,10.0
4e9442ad2dce52cf03bf0a5d38af80da40282bb5,"CoronaMax VII - Filetonfric 02 du 07-
09-2025 21:15 en argent réel
CoronaMax VII - Filetonfric 02",2025-09-07 21:15:00,2025-10-26 20:47:17.316203,Krazy Kat,8,0.0,0.0,0,10.0
35de1c44f9067f5a88e76d71ee1f733c8b90c85e,"CoronaMax VII - Filetonfric 03 du 14-
09-2025 21:15 en argent réel
CoronaMax VII - Filetonfric 03",2025-09-14 21:15:00,2025-10-26 20:47:17.326367,Nolimythe,1,46.8,0.0,0,10.0
35de1c44f9067f5a88e76d71ee1f733c8b90c85e,"CoronaMax VII - Filetonfric 03 du 14-
09-2025 21:15 en argent réel
CoronaMax VII - Filetonfric 03",2025-09-14 21:15:00,2025-10-26 20:47:17.326367,Bisat,2,25.2,0.0,0,10.0
